detection_id,name,description,spl,severity,status,owner_team,mitre_tags,data_source_notes
DET001,Windows Brute Force Detection,Detects multiple failed logon attempts within a short time window indicating brute force or password spraying,"index=windows sourcetype=""WinEventLog:Security"" EventCode=4625 | stats count by src_ip, user | where count > 10",high,enabled,SOC,T1110,Windows Security Event Logs
DET002,LSASS Memory Access Detection,Detects processes accessing LSASS memory which may indicate credential dumping attempts,"index=windows sourcetype=""XmlWinEventLog:Microsoft-Windows-Sysmon/Operational"" EventCode=10 TargetImage=""*\\lsass.exe"" | stats count by SourceImage, SourceUser | where count > 0",critical,enabled,SOC,T1003.001,Sysmon
DET003,PowerShell Encoded Command Execution,Detects PowerShell execution with encoded commands which may indicate obfuscation,"index=windows sourcetype=""WinEventLog:Microsoft-Windows-PowerShell/Operational"" EventCode=4104 | regex ScriptBlockText=""(?i)-enc[odedcommand]*"" | stats count by ComputerName, UserName",high,enabled,SOC,T1059.001,PowerShell Operational Logs
DET004,Scheduled Task Creation,Detects creation of new scheduled tasks which may be used for persistence,"index=windows sourcetype=""WinEventLog:Security"" EventCode=4698 | stats count by TaskName, SubjectUserName, ComputerName",medium,enabled,SOC,T1053.005,Windows Security Event Logs
DET005,Registry Run Key Modification,Detects modifications to registry run keys used for persistence,"index=windows sourcetype=""XmlWinEventLog:Microsoft-Windows-Sysmon/Operational"" EventCode=13 TargetObject=""*\\CurrentVersion\\Run*"" | stats count by Image, TargetObject, Details",high,enabled,SOC,T1547.001,Sysmon
DET006,Event Log Clearing,Detects clearing of Windows event logs which may indicate cover-up activity,"index=windows sourcetype=""WinEventLog:Security"" EventCode=1102 | stats count by SubjectUserName, SubjectDomainName",critical,enabled,SOC,T1070.001,Windows Security Event Logs
DET007,Azure AD Impossible Travel,Detects sign-ins from geographically distant locations in short time periods,"index=azure sourcetype=""azure:aad:signin"" ResultType=0 | iplocation Location | stats earliest(_time) as first_login, latest(_time) as last_login, dc(Location) as unique_locations by UserPrincipalName | where unique_locations > 1",high,enabled,Identity Team,T1078.004,Azure AD Sign-in Logs
DET008,O365 Mailbox Forwarding Rule,Detects creation of mailbox forwarding rules which may indicate data exfiltration,"index=o365 sourcetype=""o365:management:activity"" Operation=""Set-InboxRule"" OR Operation=""New-InboxRule"" | search ForwardTo=* OR RedirectTo=* | stats count by UserId, ForwardTo, RedirectTo",high,enabled,SOC,"T1114,T1114.003",Office 365 Management Activity
DET009,AWS IAM Policy Attachment,Detects attachment of policies to IAM users which may indicate privilege escalation,"index=aws sourcetype=""aws:cloudtrail"" eventName=""AttachUserPolicy"" OR eventName=""PutUserPolicy"" | stats count by userIdentity.arn, requestParameters.policyArn",medium,enabled,Cloud Security,T1098.001,AWS CloudTrail
DET010,Windows Service Creation,Detects creation of new Windows services which may indicate persistence or privilege escalation,"index=windows sourcetype=""WinEventLog:System"" EventCode=7045 | stats count by ServiceName, ImagePath, ServiceType",medium,enabled,SOC,T1543.003,Windows System Event Logs
DET011,PsExec Lateral Movement,Detects PsExec usage patterns indicating potential lateral movement,"index=windows sourcetype=""WinEventLog:Security"" EventCode=5145 RelativeTargetName=""PSEXESVC*"" | stats count by SubjectUserName, IpAddress, ShareName",high,enabled,SOC,T1021.002,Windows Security Event Logs
DET012,RDP Logon from External IP,Detects Remote Desktop logons from external IP addresses,"index=windows sourcetype=""WinEventLog:Security"" EventCode=4624 LogonType=10 | where NOT cidrmatch(""10.0.0.0/8"", src_ip) | stats count by src_ip, TargetUserName, ComputerName",medium,enabled,SOC,T1021.001,Windows Security Event Logs
DET013,Kerberoasting TGS Request,Detects Kerberos service ticket requests with RC4 encryption indicating potential Kerberoasting,"index=windows sourcetype=""WinEventLog:Security"" EventCode=4769 TicketEncryptionType=0x17 | stats count by TargetUserName, ServiceName, IpAddress | where count > 5",high,enabled,Identity Team,T1558.003,Windows Security Event Logs
DET014,Windows Defender Tampering,Detects attempts to disable Windows Defender real-time protection,"index=windows sourcetype=""WinEventLog:Microsoft-Windows-Windows Defender/Operational"" EventCode=5001 OR EventCode=5007 | stats count by ComputerName",critical,enabled,SOC,T1562.001,Windows Defender Logs
DET015,DNS Tunneling High Entropy,Detects potential DNS tunneling through high-entropy subdomain queries,"index=dns sourcetype=""stream:dns"" | eval query_length=len(query) | where query_length > 50 | stats count by src_ip, query | where count > 100",high,disabled,Network Security,T1071.004,DNS Logs
